Unnamed: 0,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
261604,25-09-2020 21:36,5.35954E+15,fraud_Mosciski Group,travel,8517.38,Michael,Francis,M,1833 Jeanette Stravenue,Belgrade,MT,59714,45.7801,-111.1439,18182,"Engineer, drilling",29-06-1975,e5b4abde3491493d1d9897b24cba9c58,1380145007,45.534538,-111.433653,0
375959,15-11-2020 04:58,3.51362E+15,fraud_Dooley-Thompson,misc_net,187.99,Amber,Perez,F,954 Reyes Ways,Fulton,SD,57340,43.7588,-97.8712,355,Financial adviser,26-06-1955,23eeeb38d1016ec5d1f68437fb111321,1384491501,44.691168,-97.995122,0
372597,13-11-2020 12:15,3.02354E+13,fraud_Roberts-Beahan,misc_pos,7.81,James,Baldwin,M,3603 Mitchell Court,Winfield,WV,25213,38.5072,-81.89,5512,Exhibition designer,24-03-1980,bd72062b703de9aa426c7e73f13ec98e,1384344918,39.201981,-82.561837,0
23294,29-06-2020 08:55,6.0111E+15,fraud_Kunze Inc,grocery_pos,122.29,Valerie,Davis,F,3861 Anderson Ramp Apt. 536,Drakes Branch,VA,23937,36.9688,-78.5615,1970,Energy engineer,02-09-1985,d3103041c5cdafbd7d524696f0c9d14c,1372496117,37.252716,-78.808775,0
76765,18-07-2020 06:56,3.5378E+15,"fraud_Greenholt, O'Hara and Balistreri",shopping_net,9.21,Christie,Mendoza,F,53142 Katrina Roads Suite 889,Monitor,WA,98836,47.4852,-120.4158,584,Medical technical officer,20-03-1969,4bbce2b5e7be7af611c5da55ca50f691,1374130600,46.970765,-119.542727,0
142341,10-08-2020 05:14,3.04876E+13,"fraud_Eichmann, Bogan and Rodriguez",gas_transport,49.01,Stephanie,Crane,F,144 Martinez Curve,Central,IN,47110,38.097,-86.1723,350,Counsellor,05-01-1955,1faaa137e95cdf110a4f0c2232682c3d,1376111666,38.441844,-86.600293,0
35817,03-07-2020 20:34,3.58379E+15,"fraud_Bradtke, Torp and Bahringer",personal_care,39.91,Beth,Lambert,F,6447 Johnson Estates Apt. 986,Roosevelt,OK,73564,34.847,-98.9836,551,Amenity horticulturist,27-09-1970,bb756fcd0003390f6a3986913dd69b16,1372883664,35.417289,-98.848618,0
527752,26-12-2020 00:38,4.10431E+15,fraud_Emard Inc,gas_transport,52.49,Brooke,Rodriguez,F,901 Todd Gardens Apt. 466,Mountain Center,CA,92561,33.6401,-116.5567,1661,"Therapist, music",19-09-1988,b70cdbb1bb675d37a9677647671cead9,1388018311,33.832376,-115.717312,0
419309,01-12-2020 14:20,6.01155E+15,fraud_Rolfson-Kunde,personal_care,67.57,Robert,Long,M,529 Joshua Knoll Apt. 511,Lonetree,WY,82936,41.0552,-110.1603,49,Research scientist (physical sciences),05-07-1981,a213848adc800955eed333f272f87737,1385907646,41.013451,-110.179434,0
496795,19-12-2020 05:17,3.77234E+14,"fraud_Rohan, White and Aufderhar",misc_net,4.41,Theresa,Blackwell,F,43576 Kristina Islands,Shenandoah Junction,WV,25442,39.3716,-77.8229,1925,Systems developer,14-02-1966,b62b00ae81c2d6f3724a068ab0154c42,1387430225,39.26763,-78.333224,0
